Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
818 West 7th Street,818 West 7th Street,-118.2593775,34.0487865,ROOFTOP,33566.97482,3.831846441
Hostrunway Data Center,900 N Alameda St #200,-118.2353984,34.0581105,ROOFTOP,33566.97482,3.831846441
Downtown Data Center,1200 West 7th Street,-118.2658542,34.0513023,ROOFTOP,33566.97482,3.831846441
Aon Center,707 Wilshire Boulevard,-118.2570021,34.0492187,ROOFTOP,33566.97482,3.831846441
Quinby Building,650 South Grand Avenue,-118.2561798,34.0474225,ROOFTOP,33566.97482,3.831846441
Downtown Colo Corporation,650 South Grand Avenue,-118.2561798,34.0474225,ROOFTOP,33566.97482,3.831846441
Vertex SSX,615 S. Grand Avenue,-118.2500386,34.0542995,GEOMETRIC_CENTER,33566.97482,3.831846441
Amazon AWS SFO - Arroyo,Camino Arroyo / Arroyo Circle,-121.5626114,37.0209345,GEOMETRIC_CENTER,33566.97482,3.831846441
2260 E El Segundo Blvd (LAX12),2260 East El Segundo Boulevard,-118.3846315,33.9156567,ROOFTOP,33566.97482,3.831846441
Centersquare Irvine,2681 Kelvin Ave,-117.8367921,33.6846874,ROOFTOP,33566.97482,3.831846441
Hivelocity - Los Angeles 2,600 W. 7th St,-118.2572167,34.04752856,GoogleMap,33566.97482,3.831846441
Hivelocity - Los Angeles 1,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
West 7 Center,1200 West 7th Street,-118.2658542,34.0513023,ROOFTOP,33566.97482,3.831846441
One Wilshire,624 South Grand Avenue,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
Colocation America LADC3,600 W. 7th St,-118.2572167,34.04752856,GoogleMap,33566.97482,3.831846441
Equinix LA2,818 W 7th Street,-118.259378,34.048714,GoogleMap,33566.97482,3.831846441
Evocative LAX14,3690 Redondo Beach Avenue,-118.3687331,33.8892478,ROOFTOP,33566.97482,3.831846441
CoreSite One Wilshire (LA1),624 South Grand Avenue,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
Prime Los Angeles,4701 S Santa Fe Ave,-118.2310616,34.0011147,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - Los Angeles,530 W 6th St,-118.2550835,34.04833297,GoogleMap,33566.97482,3.831846441
Evocative LAX2,600 W 7th Street,-118.2805209,34.058142,GEOMETRIC_CENTER,33566.97482,3.831846441
Colocation America LADC4,530 W. 6th St,-118.2550835,34.04833297,GoogleMap,33566.97482,3.831846441
Cogent Data Center - Pasadena,2947  Bradley Street,-118.0889006,34.16854603,GoogleMap,33566.97482,3.831846441
CoreSite Los Angeles (LA2),900 North Alameda,-118.2354035,34.05812835,GoogleMap,33566.97482,3.831846441
TELEHOUSE Los Angeles Center,626 Wilshire Boulevard,-118.2570021,34.0482582,ROOFTOP,33566.97482,3.831846441
Crown Castle Los Angeles LA1,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
Colocation America LADC5,650 S. Grand Ave,-118.2561798,34.0474225,ROOFTOP,33566.97482,3.831846441
Colocation America LADC2,707 Wilshire Blvd,-118.2570021,34.0492187,ROOFTOP,33566.97482,3.831846441
UnitedLayer Los Angeles,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
DataBank LAX1 - LA One Wilshire,624 South Grand Avenue,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
Serverfarm LAX1,444 North Nash Street,-118.3864564,33.9217372,ROOFTOP,33566.97482,3.831846441
Crown Castle Los Angeles LA2,609 W 7th St,-118.2568251,34.04764875,GoogleMap,33566.97482,3.831846441
QuadraNet Los Angeles,530 W. 6th St.,-118.2550835,34.04833297,GoogleMap,33566.97482,3.831846441
Centersquare - Los Angeles LAX1,200 N. Nash St,-118.3863261,33.9177324,ROOFTOP,33566.97482,3.831846441
Xfernet Data Center,3250 Wilshire Blvd,-118.2930488,34.0609334,ROOFTOP,33566.97482,3.831846441
365 Data Centers - Los Angeles 1,600 W 7th St.,-118.2572167,34.04752856,GoogleMap,33566.97482,3.831846441
Edge Centres EC101 Los Angeles,707 Wilshire Blvd.,-118.2570021,34.0492187,ROOFTOP,33566.97482,3.831846441
CoreSite Los Angeles (LA3),260 Bauchet St.,-118.2355582,34.0593701,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - Burbank,100 S Flower St,-118.2498183,34.056368,RANGE_INTERPOLATED,33566.97482,3.831846441
Cogent Data Center - La Mirada,16680 Valley View Avenue,-118.0267267,33.8797748,ROOFTOP,33566.97482,3.831846441
Colocation America LADC1,624 South Grand Avenue,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
Crown Castle Los Angeles LA3,530 W 6th St,-118.2550835,34.04833297,GoogleMap,33566.97482,3.831846441
Aptum Los Angeles,360 E 2nd Street,-118.2401316,34.0479536,GoogleMap,33566.97482,3.831846441
Equinix LA3,1920 E Maple Ave,-118.2616543,34.0294366,GoogleMap,33566.97482,3.831846441
365 Data Centers - Los Angeles 3,900 N. Alameda St,-118.2353984,34.0581105,ROOFTOP,33566.97482,3.831846441
365 Data Centers - Los Angeles 2,624 South Grand Ave,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
Windstream Los Angeles,530 West 6th St,-118.2550835,34.04833297,GoogleMap,33566.97482,3.831846441
Key Info (Agoura Ct),30077 Agoura Ct,-118.7771698,34.1460085,ROOFTOP,33566.97482,3.831846441
Lumen Los Angeles,818 W. 7th Street,-118.2805209,34.058142,GEOMETRIC_CENTER,33566.97482,3.831846441
Equinix LA1,600 West 7th Street,-118.2805209,34.058142,GEOMETRIC_CENTER,33566.97482,3.831846441
China Telecom One Wilshire,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,33566.97482,3.831846441
Psychz LA Suite 100 & 200,700 Wilshire Blvd,-118.4950951,34.0213233,ROOFTOP,33566.97482,3.831846441
Marina Towers,4676 Admiralty Way,-118.4400862,33.9803656,ROOFTOP,33566.97482,3.831846441
Downtown Colo Corporation,650 South Grand Avenue,-118.2561798,34.0474225,ROOFTOP,33566.97482,3.831846441
Lumen Los Angeles 4,600 Wilshire Blvd,-118.2564953,34.0479589,ROOFTOP,33566.97482,3.831846441
DataBank - zColo - 707 Wilshire Blvd,707 Wilshire Blvd,-118.2570021,34.0492187,ROOFTOP,33566.97482,3.831846441
LAX Data Center,6171 West Century Blvd,-118.393553,33.945894,ROOFTOP,33566.97482,3.831846441
One Data Center America,3833 Ebony St,-117.5682629,34.06675311,GoogleMap,33566.97482,3.831846441
Long Beach Data Center,3910 E 7th St.,-118.1465216,33.77508565,GoogleMap,33566.97482,3.831846441
NocRoom Los Angeles Colocation,530 W 6th Street Penthouse,-118.2550835,34.04833297,GoogleMap,33566.97482,3.831846441
Vernon Data Center,5001 S. Soto Street,-118.2196611,33.9981009,ROOFTOP,33566.97482,3.831846441
IHNetworks Datacenter (SFV1),20339 Nordhoff Street,-118.5771956,34.232521,ROOFTOP,33566.97482,3.831846441
611 Wilshire,611 Wilshire Blvd,-118.2563018,34.0483839,ROOFTOP,33566.97482,3.831846441
818 West 7th Street,818 West 7th Street,-118.2593775,34.0487865,ROOFTOP,33566.97482,3.831846441
Hostrunway Data Center,900 N Alameda St #200,-118.2353984,34.0581105,ROOFTOP,33566.97482,3.831846441
Downtown Data Center,1200 West 7th Street,-118.2658542,34.0513023,ROOFTOP,33566.97482,3.831846441
Aon Center,707 Wilshire Boulevard,-118.2570021,34.0492187,ROOFTOP,33566.97482,3.831846441
Quinby Building,650 South Grand Avenue,-118.2561798,34.0474225,ROOFTOP,33566.97482,3.831846441
Downtown Colo Corporation,650 South Grand Avenue,-118.2561798,34.0474225,ROOFTOP,33566.97482,3.831846441
Vertex SSX,615 S. Grand Avenue,-118.2500386,34.0542995,GEOMETRIC_CENTER,33566.97482,3.831846441
Amazon AWS SFO - Arroyo,Camino Arroyo / Arroyo Circle,-121.5626114,37.0209345,GEOMETRIC_CENTER,33566.97482,3.831846441
MDC San Diego - SDG1,7014 Manya Cir,-117.0853541,32.594201,ROOFTOP,33566.97482,3.831846441
EdgeConneX San Diego - EDCSDG01,5761 Copley Drive,-117.1696933,32.8414243,ROOFTOP,33566.97482,3.831846441
DataBank SAN1 - San Diego World Trade,12270 World Trade Drive,-117.0731695,32.9884186,ROOFTOP,33566.97482,3.831846441
I2B Networks San Diego,8830 Complex Dr,-117.136791,32.8301744,ROOFTOP,33566.97482,3.831846441
LightEdge - San Diego I,9305 Lightwave Ave,-117.1298762,32.8278833,ROOFTOP,33566.97482,3.831846441
ScaleMatrix San Diego ,5775 Kearny Villa Rd,-117.1331851,32.8382046,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - San Diego 2,9530 Towne Centre Drive,-117.2095055,32.8805492,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - San Diego 1,525 B Street,-117.1597364,32.7176935,ROOFTOP,33566.97482,3.831846441
DataBank SAN2 - San Diego Aero Drive,9606 Aero Drive,-117.121087,32.8101296,ROOFTOP,33566.97482,3.831846441
LightEdge - San Diego II,9725 Scranton Road,-117.2010501,32.8971493,ROOFTOP,33566.97482,3.831846441
Lumen San Diego 1,8929 Aero Drive,-117.1358985,32.8085889,ROOFTOP,33566.97482,3.831846441
